Year,Fires,Acres,Forest Service,DOI Agencies,Total,CPI,Constant Dollars,km2
1985,82591,2896147,161505000,78438000,239943000,66.9,610079286,11720
1986,85907,2719162,111625000,91153000,202778000,68.0,507243202,11004
1987,71300,2447296,253657000,81452000,335109000,70.3,810839842,9903
1988,72750,5009290,429609000,149317000,578926000,72.9,1350827333,20271
1989,48949,1827310,331672000,168115000,499787000,76.1,1117132308,7394
1990,66481,4621621,253700000,144252000,397952000,79.8,848266105,18703
1991,75754,2953578,132300000,73820000,206120000,82.7,423954195,11952
1992,87394,2069929,290300000,87166000,377466000,84.8,757157625,8376
1993,58810,1797574,184000000,56436000,240436000,86.9,470634794,7274
1994,79107,4073579,757200000,161135000,918335000,88.8,1759107922,16485
1995,82234,1840546,367000000,110126000,477126000,90.9,892839742,7448
1996,96363,6065998,547500000,153683000,701183000,93.3,1278362575,24548
1997,66196,2856959,179100000,105048000,284148000,95.3,507172873,11561
1998,81043,1329704,306800000,109904000,416704000,96.6,733761391,5381
1999,92487,5626093,361100000,154416000,515516000,98.6,889343525,22768
2000,92250,7383493,1076000000,334802000,1410802000,102.0,2352719805,29879
2001,84079,3570911,683122000,269574000,952696000,104.3,1553725691,14450
2002,73457,7184712,1279000000,395040000,1674040000,105.6,2696536022,29075
2003,63629,3960842,1023500000,303638000,1327138000,107.8,2094120350,16028
2004,65461,8097880,726000000,281244000,1007244000,110.5,1550517686,32770
2005,66753,8689389,524900000,294054000,818954000,113.7,1225189757,35164
2006,96385,9873745,1280419000,424058000,1704477000,117.0,2478047330,39957
2007,85705,9328045,1149654000,470491000,1620145000,120.0,2296555537,37749
2008,78979,5292468,1193073000,392783000,1585856000,124.4,2168441363,21417
2009,78792,5921786,702111000,218418000,920529000,123.9,1263777101,23964
2010,71971,3422724,578285000,231214000,809499000,125.6,1096303980,13851
2011,74126,8711367,1055736000,318789000,1374525000,129.5,1805457162,35253
2012,67774,9326238,1436614000,465832000,1902446000,132.0,2451561095,37741
2013,47579,4319546,1341735000,399199000,1740934000,133.6,2216563423,17480
2014,63212,3595613,1195955000,326194000,1522149000,135.5,1910830589,14550
2015,68151,10125149,1713000000,417543000,2130543000,135.4,2676553650,40975
2016,67595,5503538,1603806000,371739000,1975545000,136.6,2460030779,22272
2017,71499,10026086,2410165000,508000000,2918165000,139.0,3571078176,40574
2018,58083,8767492,2615256000,528000000,3143256000,141.8,3770577190,35480
2019,50477,4664364,1150000000,440000000,1590000000,143.9,1879492703,18876
2020,58950,10122336,1764000000,510000000,2274000000,145.4,2660298486,40963
2021,58985,7125643,3741000000,648000000,4389000000,151.9,4914870967,28836
2022,68988,7577183,2900000000,649000000,3549000000,163.6,3690005501,30663
2023,56580,2693910,2700000000,466300000,3166300000,170.1,3166300000,10901
